assembla_id,jira_key,jira_id
1,MP-1,10654
2,MP-2,10655
3,MP-3,10656
4,MP-4,10657
5,MP-5,10658
6,MP-6,10659
7,MP-7,10660
8,MP-8,10661
9,MP-9,10662
10,MP-10,10663
11,MP-11,10664
12,MP-12,10665
13,MP-13,10666
14,MP-14,10667
15,MP-15,10668
16,MP-16,10669
17,MP-17,10670
18,MP-18,10671
19,MP-19,10672
20,MP-20,10673
21,MP-21,10674
22,MP-22,10675
23,MP-23,10676
24,MP-24,10677
25,MP-25,10678
26,MP-26,10679
27,MP-27,10680
28,MP-28,10681
29,MP-29,10682
30,MP-30,10683
31,MP-31,10684
32,MP-32,10685
33,MP-33,10686
34,MP-34,10687
35,MP-35,10688
36,MP-36,10689
37,MP-37,10690
38,MP-38,10691
39,MP-39,10692
40,MP-40,10693
41,MP-41,10694
42,MP-42,10695
43,MP-43,10696
44,MP-44,10697
45,MP-45,10698
46,MP-46,10699
47,MP-47,10700
48,MP-48,10701
49,MP-49,10702
50,MP-50,10703
51,MP-51,10704
52,MP-52,10705
53,MP-53,10706
54,MP-54,10707
55,MP-55,10708
56,MP-56,10709
57,MP-57,10710
58,MP-58,10711
59,MP-59,10712
60,MP-60,10713
61,MP-61,10714
62,MP-62,10715
63,MP-63,10716
64,MP-64,10717
65,MP-65,10718
66,MP-66,10719
67,MP-67,10720
68,MP-68,10721
69,MP-69,10722
70,MP-70,10723
71,MP-71,10724
72,MP-72,10725
73,MP-73,10726
74,MP-74,10727
75,MP-75,10728
76,MP-76,10729
77,MP-77,10730
78,MP-78,10731
79,MP-79,10732
80,MP-80,10733
81,MP-81,10734
82,MP-82,10735
83,MP-83,10736
84,MP-84,10737
85,MP-85,10738
86,MP-86,10739
87,MP-87,10740
88,MP-88,10741
89,MP-89,10742
90,MP-90,10743
91,MP-91,10744
92,MP-92,10745
93,MP-93,10746
94,MP-94,10747
95,MP-95,10748
96,MP-96,10749
97,MP-97,10750
98,MP-98,10751
99,MP-99,10752
100,MP-100,10753
101,MP-101,10754
102,MP-102,10755
103,MP-103,10756
104,MP-104,10757
105,MP-105,10758
106,MP-106,10759
107,MP-107,10760
108,MP-108,10761
109,MP-109,10762
110,MP-110,10763
111,MP-111,10764
112,MP-112,10765
113,MP-113,10766
114,MP-114,10767
115,MP-115,10768
116,MP-116,10769
117,MP-117,10770
118,MP-118,10771
119,MP-119,10772
120,MP-120,10773
121,MP-121,10774
122,MP-122,10775
123,MP-123,10776
124,MP-124,10777
125,MP-125,10778
126,MP-126,10779
127,MP-127,10780
128,MP-128,10781
129,MP-129,10782
130,MP-130,10783
131,MP-131,10784
132,MP-132,10785
133,MP-133,10786
134,MP-134,10787
135,MP-135,10788
136,MP-136,10789
137,MP-137,10790
138,MP-138,10791
139,MP-139,10792
140,MP-140,10793
141,MP-141,10794
142,MP-142,10795
143,MP-143,10796
144,MP-144,10797
145,MP-145,10798
146,MP-146,10799
147,MP-147,10800
148,MP-148,10801
149,MP-149,10802
150,MP-150,10803
151,MP-151,10804
152,MP-152,10805
153,MP-153,10806
154,MP-154,10807
155,MP-155,10808
156,MP-156,10809
157,MP-157,10810
158,MP-158,10811
159,MP-159,10812
160,MP-160,10813
161,MP-161,10814
162,MP-162,10815
163,MP-163,10816
164,MP-164,10817
165,MP-165,10818
166,MP-166,10819
167,MP-167,10820
168,MP-168,10821
169,MP-169,10822
170,MP-170,10823
171,MP-171,10824
172,MP-172,10825
173,MP-173,10826
174,MP-174,10827
175,MP-175,10828
176,MP-176,10829
177,MP-177,10830
178,MP-178,10831
179,MP-179,10832
180,MP-180,10833
181,MP-181,10834
182,MP-182,10835
183,MP-183,10836
184,MP-184,10837
185,MP-185,10838
186,MP-186,10839
187,MP-187,10840
188,MP-188,10841
189,MP-189,10842
190,MP-190,10843
191,MP-191,10844
192,MP-192,10845
193,MP-193,10846
194,MP-194,10847
195,MP-195,10848
196,MP-196,10849
197,MP-197,10850
198,MP-198,10851
199,MP-199,10852
200,MP-200,10853
201,MP-201,10854
202,MP-202,10855
203,MP-203,10856
204,MP-204,10857
205,MP-205,10858
206,MP-206,10859
207,MP-207,10860
208,MP-208,10861
209,MP-209,10862
210,MP-210,10863
211,MP-211,10864
212,MP-212,10865
213,MP-213,10866
214,MP-214,10867
215,MP-215,10868
216,MP-216,10869
217,MP-217,10870
218,MP-218,10871
219,MP-219,10872
220,MP-220,10873
221,MP-221,10874
222,MP-222,10875
223,MP-223,10876
224,MP-224,10877
225,MP-225,10878
226,MP-226,10879
227,MP-227,10880
228,MP-228,10881
229,MP-229,10882
230,MP-230,10883
231,MP-231,10884
232,MP-232,10885
233,MP-233,10886
234,MP-234,10887
