id,number,summary,description,priority,completed_date,component_id,created_on,permission_type,importance,is_story,milestone_id,notification_list,space_id,state,status,story_importance,updated_at,working_hours,estimate,total_estimate,total_invested_hours,total_working_hours,assigned_to_id,reporter_id,custom_fields,hierarchy_type,due_date,assigned_to_name,picture_url
100124873,1,blacklight: investigate front-end,"can we use the styleguide.europeana.eu css? ( *yes* / no )
can we use our own javascript? ( *yes* / no )

*test URL*
* [[url:http://ec2-54-229-49-47.eu-west-1.compute.amazonaws.com/|front-end]]
*attachments*
* one attachment shows the front-end look and feel with the blacklight front-end assets
* another attachment show the front-end look and feel with the europeana styleguide stylesheet; no js.",3,2015-02-05T11:50:03.000Z,,2014-10-21T11:29:19.000Z,0,-2.0,true,7270983,",ahQtmgU58r4zF-acwqjQXA,bE4VAKECur4RFgacwqEsg8",ck47vGwfer5j4iacwqjQXA,0,Done,0,2016-10-10T08:39:21.000Z,0.0,1.0,3.0,0.0,0.0,,a0pBlgpjGr37NkeJe5aVNr,"{""Theme""=>""Environment & Architecture""}",2,,,
101366873,2,Import the Europeana Sounds vocabularies into OpenSKOS,"*Task:*
Import the Europeana Sounds genre vocabulary to our OpenSKOS and expose them as dereferencable SKOS-entities.

Note: Please add sub-tasks to this story as needed.

*Background:*
To support better discovery (eg. facets, autosuggestions, entity pages, browse entry points) for Audio and Music related content the Europeana Sounds project have created a simple sounds genre vocabulary.

Further down the line it is our intention to exploit those vocabularies in the planned Europeana Music Channel in the form of e.g. a Genre facet, in autosuggestions and as browse entry points. The vocabularies as a whole should also be accessible via technical interfaces and individual SKOS-concepts must be dereferencable. We have thus decided to import them into the Europeana OpenSKOS instance and make the vocabularies available as data.europeana.eu URIs.

*Vocabulary file:*
Available in https://docs.google.com/spreadsheets/d/1OBc99QlfM3vZTt8xz-ZzleCTR95NIvsnxyLEDGA-qp0/edit#gid=1343309685 

Note 1: Ignore the Out of Date tab.

Note 2: Some terms have multiple narrower terms. These are represented in one column ""Narrower terms (resource - internal)"" and separated by space;space. If this format for narrower terms should be changed to another separator just do so.

Note 3: The columns filled in in grey can be ignored in the import.

*Vocabulary codes and titles in OpenSKOS:*
Collection is sounds, http://skos.europeana.eu/editor/collections/edit/collection/sounds
Scheme is soundgenres

*Content negotiation:*
When browsers request a URI they should be re-directed to the HTML-page of a term
When non-browsers request a URI they should receive the SKOS/RDF response

Break out the content negotiation to a discrete task if preferred.

*Similar previous ticket:*
Compare with https://europeanadev.assembla.com/spaces/europeana-1914-1918/tickets/366
",1,2015-02-04T14:39:42.000Z,,2014-11-05T10:43:17.000Z,0,-2.0,true,7270983,"ahQtmgU58r4zF-acwqjQXA,bE4VAKECur4RFgacwqEsg8",ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-02-04T14:39:42.000Z,0.0,3.0,3.0,0.0,0.0,bE4VAKECur4RFgacwqEsg8,ahQtmgU58r4zF-acwqjQXA,"{""Theme""=>""Ontologies and vocabularies""}",2,,richard.doe,https://s3.amazonaws.com/assembla-avatars/035f2451/bE4VAKECur4RFgacwqEsg8:1422066277
103563973,3,blacklight: admin functionality,"*story*
as a curator or europeana admin, i want to be able to alter application configuration in order to control various elements of the application:

* ideally, settings are made via a gui
** however, initially, an i/f for adjusting a json or yml config file would be fine.
* access to all admin functionality should be determined by a user management module
** ideally this would use a europeana api service, which does not yet exist at this time
** in the meantime, allow modifications without user management

*application elements*
these need to be further defined and given their own story in order to work out the implementation details for each element, however, for the moment, this is to give a general idea of the type of configurations that need to be available:

* home page
** background image
* channel management
** data parameters
*** query that defines the channel
** branding
*** logo
*** name
*** description text
*** colour
** featured items
*** image
*** title
*** link
** widget selection

*references*
* [[url:https://docs.google.com/document/d/1HIZ7ecQ0Tn_I5m1D1XG64UtpJf1_6LwWjKtNvYwrM94/edit#heading=h.3oko1rpwrqx6|Software selection]]
* [[url:https://docs.google.com/presentation/d/1tD5Cua3jPC9YBeS8eC_T27aegFteZIPWEf_qybskpDg/edit?usp=sharing|Channels Configurations]]
* [[url:http://demo.deanbirkett.name/400PDV/#p=home|dean’s front-end prototype]]",3,2015-02-05T11:50:03.000Z,,2014-11-28T11:00:37.000Z,0,-1.5499999523162842,false,7270983,",ahQtmgU58r4zF-acwqjQXA,bE4VAKECur4RFgacwqEsg8",ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-02-05T11:53:27.000Z,0.0,1.0,1.0,0.0,0.0,,a0pBlgpjGr37NkeJe5aVNr,"{""Theme""=>""Environment & Architecture""}",1,,,
103567923,4,blacklight: channel landing pages,"*story*
as a site user i want to be able to land on a channel landing page via a URL

*application elements*
* channels routes available should come from the admin config
* need to be able to create an application layout for these landing pages that uses the config elements to build the pages",3,2015-02-04T09:36:32.000Z,,2014-11-28T11:46:37.000Z,0,-2.0999999046325684,false,7270983,",ahQtmgU58r4zF-acwqjQXA,bE4VAKECur4RFgacwqEsg8",ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-02-05T09:46:59.000Z,0.0,1.0,1.0,0.0,0.0,,a0pBlgpjGr37NkeJe5aVNr,"{""Theme""=>""Environment & Architecture""}",1,,,
104118133,5,Blacklight: investigate back-end,"One candidate for the back-end of the Channels application is to build upon [[url:https://github.com/projectblacklight/blacklight|Blacklight]].

This ticket will summarise research into the feasibility of doing so, with a focus on using it as a thin client to Europeana (and other relevant) APIs.",3,2015-02-04T10:28:35.000Z,,2014-12-02T09:52:13.000Z,0,-3.0,true,7270983,bE4VAKECur4RFgacwqEsg8,ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-02-04T10:28:35.000Z,0.0,3.0,4.0,0.0,0.0,bE4VAKECur4RFgacwqEsg8,bE4VAKECur4RFgacwqEsg8,"{""Theme""=>""Environment & Architecture""}",2,,,
104180813,6,Blacklight: query Europeana REST API (not Solr),"Blacklight provides an interface to a Solr instance and its indices, and as such its use depends on the existence and accessibility of a Solr instance. In the case of a Channels application, search and record retrieval would need to occur via the Europeana REST API. Given Blacklight's coupling to Solr, this is a seeming obstacle to its use for Channels.

However, given that: a. Blacklight utilises the RSolr library to communicate with Solr, and; b. the Europeana REST API supports certain elements of the Lucene query syntax; it was speculated that a variant of RSolr could be developed to act as an ""interpreter"" between Blacklight and the Europeana REST API. To Blacklight it would appear that queries were being sent to a Solr instance, while this RSolr variant would in fact adjust queries to the format expected by the Europeana REST API, send them to it, and alter the responses to appear as though from Solr.

A proof-of-concept should be created to demonstrate whether this is in fact feasible.",3,2015-02-04T10:27:31.000Z,,2014-12-02T19:15:28.000Z,0,-3.0999999046325684,false,7270983,"bE4VAKECur4RFgacwqEsg8,ahQtmgU58r4zF-acwqjQXA",ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-02-04T10:27:31.000Z,0.0,1.0,1.0,0.0,0.0,bE4VAKECur4RFgacwqEsg8,bE4VAKECur4RFgacwqEsg8,"{""Theme""=>""Environment & Architecture""}",1,,,
105193653,7,Blacklight: bookmarks,"In the Blacklight proof-of-concept for Channels, attempting to access Blacklight's bookmarks functionality returns a server error.

All standard features of Blacklight should be available to Channels when configured to query the Europeana REST API instead of a Solr instance.",3,2015-02-04T10:26:39.000Z,,2014-12-11T09:46:13.000Z,0,-4.0,false,7270983,"bE4VAKECur4RFgacwqEsg8,ahQtmgU58r4zF-acwqjQXA",ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-02-04T10:26:39.000Z,0.0,1.0,1.0,0.0,0.0,bE4VAKECur4RFgacwqEsg8,bE4VAKECur4RFgacwqEsg8,"{""Theme""=>""Environment & Architecture""}",0,,,
109617633,8,Upgrade Blacklight to version 5.8,"The initial Channels/Blacklight proof of concept was developed using Blacklight 5.7. As Blacklight has since been updated to version 5.8, a brief assessment of changes with respect to their potential impact on a Channels application was conducted.

* Introduces a SolrRepository model which would need to be overridden to connect to Europeana via RSolr::Europeana, e.g as EuropeanaRepository. *Breaks POC due to change in method of overriding RSolr library, but fixable with minimal refactoring.*
* Configurable response model (in addition to configurable response document model) may pave the way for returning non-flat documents from REST API, e.g. having multi-lingual labels, representing relationships between entities. Would require some overriding of views and/or helper methods to work with custom document model.
* New extendable action framework establishes a formal way to add functions to Blacklight's default UI, e.g. including the links to content Channels in the navbar.

The POC should be updated to use Blacklight 5.8, and its connection to Europeana REST API refactored accordingly.",3,2015-01-27T13:02:03.000Z,,2015-01-22T11:52:49.000Z,0,-5.0,true,7270983,bE4VAKECur4RFgacwqEsg8,ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-01-27T13:02:03.000Z,0.0,1.0,1.0,0.0,0.0,bE4VAKECur4RFgacwqEsg8,bE4VAKECur4RFgacwqEsg8,"{""Theme""=>""Environment & Architecture""}",2,,,
110574343,9,Blacklight: add support for hierarchies,"An initial assessment of the feasibility of supporting Europeana's object hierarchies in Rails + Blacklight concluded that it would not be problematic.

This should be demonstrated in the proof of concept.",2,2015-01-30T06:56:25.000Z,,2015-01-29T10:13:55.000Z,0,-6.0,true,7270983,"bE4VAKECur4RFgacwqEsg8,ahQtmgU58r4zF-acwqjQXA",ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-02-02T12:42:58.000Z,0.0,1.0,1.0,0.0,0.0,ahQtmgU58r4zF-acwqjQXA,bE4VAKECur4RFgacwqEsg8,"{""Theme""=>""Environment & Architecture""}",2,,David Haskiya,https://s3.amazonaws.com/assembla-avatars/98fd69d9/ahQtmgU58r4zF-acwqjQXA:1422046973
110960373,10,"Create roadmap/release plan, backlog and sprintlog 1",Work in progress [[url:https://docs.google.com/spreadsheets/d/1t2mQX4-gGNs552NPpxPiMnnhOZXCSF796P7q8VM4m_E/edit#gid=330126885|in this Google Doc]],3,2015-02-18T11:52:15.000Z,,2015-02-03T13:50:43.000Z,0,-1.0,false,7796893,"ahQtmgU58r4zF-acwqjQXA,djQ1OaATWr4Of6acwqjQYw",ck47vGwfer5j4iacwqjQXA,0,Done,0,2015-02-18T11:52:15.000Z,0.0,1.0,1.0,0.0,0.0,ahQtmgU58r4zF-acwqjQXA,ahQtmgU58r4zF-acwqjQXA,"{""Theme""=>""Project Management""}",0,,,
